relevance_score,completeness_score,hallucination_detected,latency_ms,estimated_tokens,estimated_cost_usd,keywords_from_context,num_context_chunks,num_response_sentences,index,num_hallucinated_sentences
1.0,0.6667,False,,7,1.4e-05,"['school', 'started', 'recently', 'where', 'you', 'going']",2,1,27,0
1.0,0.4,False,,7,1.4e-05,"['going', 'where', 'you', 'school', 'pcc']",2,1,28,0
1.0,0.6667,False,,8,1.6e-05,"['going', 'pcc', 'how', 'you', 'like', 'far']",2,1,29,0
0.758,0.75,False,,14,2.8e-05,"['like', 'far', 'how', 'you', 'classes', 'pretty', 'good', 'right']",2,2,30,0
1.0,0.125,False,,5,1e-05,"['like', 'far', 'classes', 'pretty', 'good', 'right', 'now', 'wish']",2,1,31,0
0.9305,0.5714,True,,9,1.8e-05,"['ugly', 'day', 'today', 'know', 'think', 'may', 'rain']",2,2,32,1
1.0,0.625,False,,13,2.6e-05,"['rain', 'know', 'think', 'may', 'middle', 'summer', 'shouldn', 'today']",2,1,33,0
1.0,0.2857,False,,5,1e-05,"['middle', 'summer', 'shouldn', 'rain', 'today', 'would', 'weird']",2,1,34,0
1.0,0.75,False,,10,2e-05,"['would', 'weird', 'yeah', 'especially', 'since', 'ninety', 'degrees', 'outside']",2,1,35,0
1.0,0.375,False,,17,3.4e-05,"['outside', 'yeah', 'especially', 'since', 'ninety', 'degrees', 'know', 'would']",2,1,36,0
1.0,0.2857,False,,6,1.2e-05,"['would', 'know', 'horrible', 'rained', 'hot', 'outside', 'yes']",2,1,37,0
1.0,0.75,False,,11,2.2e-05,"['yes', 'would', 'really', 'wish', 'wasn', 'hot', 'every', 'day']",2,1,38,0
0.8803,0.25,False,,10,2e-05,"['really', 'wish', 'wasn', 'hot', 'every', 'day', 'too', 'can']",2,2,39,0
1.0,0.625,False,,12,2.4e-05,"['too', 'winter', 'can', 'wait', 'until', 'like', 'but', 'sometimes']",2,1,40,0
1.0,0.25,False,,8,1.6e-05,"['too', 'cold', 'like', 'winter', 'but', 'sometimes', 'gets', 'rather']",2,1,41,0
1.0,0.2,False,,3,6e-06,"['rather', 'cold', 'than', 'hot', 'too']",2,1,42,0
0.8928,0.25,True,,13,2.6e-05,"['doesn', 'look', 'very', 'nice', 'outside', 'today', 'you', 'right']",2,2,43,1
1.0,0.375,False,,13,2.6e-05,"['you', 'right', 'think', 'going', 'rain', 'later', 'middle', 'summer']",2,1,44,0
1.0,0.4286,False,,6,1.2e-05,"['middle', 'summer', 'shouldn', 'raining', 'wouldn', 'seem', 'right']",2,1,45,0
1.0,0.625,False,,15,3e-05,"['wouldn', 'seem', 'right', 'considering', 'over', 'ninety', 'degrees', 'outside']",2,1,46,0
0.919,0.25,False,,18,3.6e-05,"['considering', 'over', 'ninety', 'degrees', 'outside', 'would', 'weird', 'exactly']",2,2,47,0
1.0,0.125,False,,8,1.6e-05,"['exactly', 'wouldn', 'nice', 'started', 'raining', 'too', 'hot', 'know']",2,1,48,0
1.0,0.5,False,,9,1.8e-05,"['know', 'you', 'absolutely', 'right', 'wish', 'would', 'cool', 'off']",2,1,49,0
1.0,0.25,False,,13,2.6e-05,"['wish', 'would', 'cool', 'off', 'one', 'day', 'how', 'feel']",2,1,50,0
1.0,0.375,False,,12,2.4e-05,"['winter', 'how', 'feel', 'want', 'come', 'soon', 'enjoy', 'but']",2,1,51,0
1.0,0.375,False,,15,3e-05,"['but', 'cold', 'enjoy', 'winter', 'gets', 'really', 'sometimes', 'know']",2,1,52,0
1.0,0.0,False,,7,1.4e-05,"['know', 'what', 'you', 'mean', 'but', 'rather', 'cold', 'than']",2,1,53,0
0.8634,0.5,True,,11,2.2e-05,"['wish', 'nicer', 'day', 'today', 'true', 'hope', 'doesn', 'rain']",2,2,54,1
1.0,0.5714,False,,11,2.2e-05,"['rain', 'true', 'hope', 'doesn', 'wouldn', 'middle', 'summer']",2,1,55,0
1.0,0.75,False,,12,2.4e-05,"['wouldn', 'right', 'rain', 'middle', 'summer', 'seem', 'started', 'raining']",2,1,56,0
1.0,0.5,False,,13,2.6e-05,"['right', 'started', 'raining', 'wouldn', 'seem', 'now', 'would', 'weird']",2,1,57,0
1.0,0.25,False,,8,1.6e-05,"['would', 'weird', 'started', 'raining', 'ninety', 'degree', 'weather', 'any']",2,1,58,0
1.0,0.4286,False,,9,1.8e-05,"['right', 'would', 'any', 'rain', 'now', 'pointless', 'really']",2,1,59,0
1.0,0.5714,False,,8,1.6e-05,"['right', 'really', 'would', 'want', 'cool', 'down', 'some']",2,1,60,0
1.0,0.5,False,,15,3e-05,"['want', 'cool', 'down', 'some', 'know', 'what', 'you', 'mean']",2,1,61,0
0.8738,0.125,False,,15,3e-05,"['winter', 'know', 'what', 'you', 'mean', 'can', 'wait', 'until']",2,2,62,0
1.0,0.125,False,,11,2.2e-05,"['winter', 'great', 'wish', 'didn', 'get', 'cold', 'sometimes', 'though']",2,1,63,0
1.0,0.25,False,,5,1e-05,"['such', 'nice', 'day', 'yes']",2,1,64,0
1.0,0.8333,False,,8,1.6e-05,"['yes', 'looks', 'like', 'may', 'rain', 'soon']",2,1,65,0
1.0,0.375,False,,9,1.8e-05,"['looks', 'like', 'may', 'rain', 'soon', 'yes', 'hope', 'does']",2,1,66,0
1.0,0.25,False,,4,8e-06,"['yes', 'hope', 'does', 'why']",2,1,67,0
1.0,0.8571,False,,9,1.8e-05,"['why', 'really', 'love', 'how', 'rain', 'clears', 'air']",2,1,68,0
0.868,0.375,True,,12,2.4e-05,"['really', 'love', 'how', 'rain', 'clears', 'air', 'too', 'always']",2,2,69,1
1.0,0.5,False,,12,2.4e-05,"['after', 'rains', 'too', 'always', 'smells', 'fresh', 'yes', 'but']",2,1,70,0
0.6108,0.125,False,,6,1.2e-05,"['yes', 'but', 'love', 'night', 'air', 'after', 'rains', 'really']",2,2,71,0
1.0,0.75,False,,8,1.6e-05,"['really', 'why', 'because', 'you', 'can', 'see', 'stars', 'perfectly']",2,1,72,0
1.0,0.25,False,,7,1.4e-05,"['because', 'you', 'can', 'see', 'stars', 'perfectly', 'really', 'hope']",2,1,73,0
1.0,0.3333,False,,5,1e-05,"['really', 'hope', 'rains', 'today', 'yeah', 'too']",2,1,74,0
1.0,0.25,False,,4,8e-06,"['isn', 'nice', 'day', 'really']",2,1,75,0
1.0,0.8,False,,8,1.6e-05,"['really', 'seems', 'may', 'rain', 'today']",2,1,76,0
1.0,0.3333,False,,4,8e-06,"['seems', 'may', 'rain', 'today', 'hopefully', 'will']",2,1,77,0
1.0,0.5,False,,3,6e-06,"['hopefully', 'will', 'how', 'come']",2,1,78,0
1.0,0.875,False,,11,2.2e-05,"['how', 'come', 'like', 'clear', 'sky', 'gets', 'after', 'rains']",2,1,79,0
0.84,0.375,False,,14,2.8e-05,"['after', 'rains', 'like', 'how', 'clear', 'sky', 'gets', 'feel']",2,2,80,0
1.0,0.25,False,,10,2e-05,"['rains', 'feel', 'same', 'way', 'smells', 'good', 'after', 'especially']",2,1,81,0
0.7812,0.25,False,,4,8e-06,"['especially', 'love', 'night', 'air', 'when', 'rains', 'really', 'why']",2,2,82,0
1.0,0.75,False,,10,2e-05,"['really', 'why', 'stars', 'look', 'much', 'closer', 'after', 'rains']",2,1,83,0
1.0,0.25,False,,8,1.6e-05,"['stars', 'look', 'much', 'closer', 'after', 'rains', 'really', 'want']",2,1,84,0
1.0,0.2,False,,6,1.2e-05,"['really', 'want', 'rain', 'today', 'yeah']",2,1,85,0
1.0,0.4286,False,,7,1.4e-05,"['think', 'don', 'you', 'nice', 'out', 'yes', 'too']",2,1,86,0
1.0,0.6,False,,9,1.8e-05,"['think', 'yes', 'too', 'going', 'rain']",2,1,87,0
1.0,0.6,False,,7,1.4e-05,"['rain', 'think', 'going', 'hope', 'does']",2,1,88,0
1.0,0.6,False,,5,1e-05,"['rain', 'hope', 'does', 'you', 'like']",2,1,89,0
0.9115,0.75,True,,13,2.6e-05,"['you', 'like', 'rain', 'sky', 'looks', 'clean', 'after', 'rains']",2,2,90,1
0.9529,0.375,True,,10,2e-05,"['sky', 'looks', 'clean', 'after', 'rains', 'love', 'understand', 'rain']",2,2,91,1
1.0,0.375,False,,12,2.4e-05,"['understand', 'rain', 'does', 'make', 'smell', 'cleaner', 'love', 'most']",2,1,92,0
1.0,0.2857,False,,3,6e-06,"['how', 'love', 'most', 'night', 'after', 'rains', 'come']",2,1,93,0
1.0,0.75,False,,13,2.6e-05,"['how', 'come', 'you', 'can', 'see', 'stars', 'much', 'more']",2,1,94,0
1.0,0.0,False,,9,1.8e-05,"['you', 'can', 'see', 'stars', 'much', 'more', 'clearly', 'after']",2,1,95,0
0.8208,0.5,False,,14,2.8e-05,"['like', 'really', 'want', 'beach', 'weekend', 'sounds', 'fun', 'what']",2,2,96,0
1.0,0.375,False,,12,2.4e-05,"['like', 'going', 'sounds', 'fun', 'what', 'weather', 'heard', 'warm']",2,1,97,0
1.0,0.5714,False,,9,1.8e-05,"['going', 'heard', 'warm', 'weekend', 'perfect', 'beach', 'weather']",2,1,98,0
1.0,0.2,False,,4,8e-06,"['going', 'perfect', 'beach', 'weather', 'believe']",2,1,99,0
0.9441,0.8571,False,,12,2.4e-05,"['believe', 'good', 'hope', 'doesn', 'cool', 'off', 'weekend']",2,2,100,0
0.9214,0.25,True,,12,2.4e-05,"['good', 'hope', 'doesn', 'cool', 'off', 'weekend', 'know', 'really']",2,2,101,1
1.0,0.75,False,,10,2e-05,"['know', 'really', 'want', 'beach', 'but', 'you', 'california', 'weather']",2,1,102,0
0.9305,0.25,True,,19,3.8e-05,"['you', 'minute', 'but', 'know', 'california', 'weather', 'really', 'unpredictable']",2,2,103,1
1.0,0.0,False,,11,2.2e-05,"['minute', 'you', 'right', 'one', 'hot', 'then', 'next', 'cold']",2,1,104,0
0.7938,0.125,False,,16,3.2e-05,"['really', 'wish', 'weather', 'would', 'just', 'stay', 'same', 'too']",2,2,105,0
1.0,0.0,False,,10,2e-05,"['too', 'way', 'can', 'have', 'our', 'activities', 'planned', 'ahead']",2,1,106,0
0.7829,0.625,False,,17,3.4e-05,"['would', 'trip', 'beach', 'like', 'take', 'weekend', 'fun', 'how']",2,2,107,0
1.0,0.125,False,,12,2.4e-05,"['trip', 'beach', 'would', 'fun', 'how', 'weather', 'going', 'forecast']",2,1,108,0
1.0,0.375,False,,13,2.6e-05,"['forecast', 'says', 'will', 'warm', 'weekend', 'you', 'think', 'perfect']",2,1,109,0
1.0,0.375,False,,7,1.4e-05,"['you', 'think', 'perfect', 'weather', 'beach', 'sounds', 'like', 'will']",2,1,110,0
1.0,0.625,False,,9,1.8e-05,"['sounds', 'like', 'will', 'really', 'hope', 'doesn', 'get', 'cold']",2,1,111,0
1.0,0.375,False,,12,2.4e-05,"['really', 'hope', 'doesn', 'get', 'cold', 'would', 'ruin', 'things']",2,1,112,0
1.0,0.375,False,,12,2.4e-05,"['would', 'ruin', 'things', 'want', 'badly', 'weather', 'california', 'unpredictable']",2,1,113,0
0.8122,0.375,True,,10,2e-05,"['weather', 'california', 'unpredictable', 'you', 'never', 'know', 'true', 'constantly']",2,2,114,1
1.0,0.625,False,,11,2.2e-05,"['weather', 'would', 'true', 'constantly', 'changing', 'nice', 'never', 'change']",2,1,115,0
1.0,0.5,False,,12,2.4e-05,"['would', 'nice', 'weather', 'never', 'change', 'great', 'then', 'could']",2,1,116,0
0.9517,0.25,True,,9,1.8e-05,"['would', 'great', 'then', 'could', 'plan', 'things', 'sooner', 'true']",2,2,117,1
0.8769,0.375,False,,16,3.2e-05,"['would', 'nice', 'beach', 'sometime', 'weekend', 'what', 'weather', 'going']",2,2,118,0
1.0,0.25,False,,10,2e-05,"['weather', 'what', 'going', 'like', 'may', 'want', 'too', 'weekend']",2,1,119,0
1.0,0.5714,False,,7,1.4e-05,"['weather', 'weekend', 'supposed', 'warm', 'will', 'good', 'beach']",2,1,120,0
1.0,0.4,False,,6,1.2e-05,"['will', 'good', 'beach', 'weather', 'think']",2,1,121,0
1.0,0.7143,False,,12,2.4e-05,"['think', 'will', 'wouldn', 'good', 'got', 'cold', 'weekend']",2,1,122,0
1.0,0.375,False,,14,2.8e-05,"['wouldn', 'good', 'got', 'cold', 'weekend', 'want', 'trip', 'perfect']",2,1,123,0
1.0,0.25,False,,16,3.2e-05,"['want', 'trip', 'perfect', 'hope', 'stays', 'warm', 'california', 'weather']",2,1,124,0
0.9163,0.375,True,,10,2e-05,"['weather', 'know', 'california', 'uncertain', 'impossible', 'what', 'happen', 'every']",2,2,125,1
1.0,0.25,False,,12,2.4e-05,"['know', 'every', 'day', 'weather', 'seems', 'different', 'would', 'love']",2,1,126,0
1.0,0.5,False,,11,2.2e-05,"['would', 'make', 'love', 'wasn', 'always', 'unpredictable', 'easier', 'plans']",2,1,127,0
0.6828,0.375,False,,9,1.8e-05,"['hello', 'may', 'speak', 'alice', 'please', 'she', 'how', 'going']",2,2,128,0
1.0,0.625,False,,10,2e-05,"['she', 'how', 'going', 'been', 'trying', 'call', 'you', 'all']",2,1,129,0
0.6712,0.25,False,,9,1.8e-05,"['been', 'trying', 'call', 'you', 'all', 'day', 'sorry', 'about']",2,2,130,0
1.0,0.25,False,,4,8e-06,"['sorry', 'about', 'cleaning', 'okay']",2,1,131,0
1.0,0.8333,False,,8,1.6e-05,"['okay', 'what', 'were', 'you', 'calling', 'about']",2,1,132,0
1.0,0.5,False,,15,3e-05,"['you', 'wanted', 'what', 'were', 'calling', 'about', 'just', 'see']",2,1,133,0
1.0,0.25,False,,9,1.8e-05,"['wanted', 'you', 'just', 'see', 'hang', 'out', 'tomorrow', 'sure']",2,1,134,0
1.0,0.375,False,,10,2e-05,"['sure', 'what', 'did', 'you', 'want', 'maybe', 'can', 'see']",2,1,135,0
0.8336,0.375,False,,10,2e-05,"['maybe', 'can', 'see', 'movie', 'something', 'sounds', 'like', 'fun']",2,2,136,0
1.0,0.5,False,,7,1.4e-05,"['sounds', 'like', 'fun', 'let', 'see', 'you', 'tomorrow', 'then']",2,1,137,0
0.7862,0.8,False,,6,1.2e-05,"['see', 'you', 'then', 'tomorrow', 'goodbye']",2,2,138,0
0.7578,0.3333,False,,7,1.4e-05,"['how', 'you', 'alice', 'there', 'speaking', 'what']",2,2,139,0
1.0,0.7143,False,,8,1.6e-05,"['speaking', 'what', 'why', 'haven', 'you', 'answered', 'phone']",2,1,140,0
1.0,0.375,False,,9,1.8e-05,"['why', 'haven', 'you', 'answered', 'phone', 'bad', 'had', 'chores']",2,1,141,0
1.0,0.4,False,,5,1e-05,"['bad', 'had', 'chores', 'all', 'right']",2,1,142,0
1.0,0.8333,False,,8,1.6e-05,"['all', 'right', 'what', 'reason', 'your', 'call']",2,1,143,0
1.0,0.5,False,,9,1.8e-05,"['what', 'reason', 'your', 'call', 'want', 'something', 'tomorrow', 'you']",2,1,144,0
0.744,0.625,False,,10,2e-05,"['you', 'want', 'something', 'tomorrow', 'sounds', 'good', 'what', 'did']",2,2,145,0
1.0,0.125,False,,8,1.6e-05,"['sounds', 'good', 'what', 'did', 'you', 'have', 'mind', 'thinking']",2,1,146,0
1.0,0.5714,False,,9,1.8e-05,"['movie', 'thinking', 'about', 'seeing', 'okay', 'let', 'see']",2,1,147,0
1.0,0.3333,False,,3,6e-06,"['okay', 'let', 'see', 'movie', 'until', 'then']",2,1,148,0
1.0,0.6,False,,5,1e-05,"['until', 'then', 'talk', 'you', 'later']",2,1,149,0
1.0,0.6,False,,6,1.2e-05,"['alice', 'available', 'you', 'talking', 'her']",2,1,150,0
1.0,0.7143,False,,9,1.8e-05,"['you', 'talking', 'her', 'called', 'hundred', 'times', 'today']",2,1,151,0
0.7578,0.375,False,,9,1.8e-05,"['called', 'you', 'hundred', 'times', 'today', 'busy', 'doing', 'something']",2,2,152,0
1.0,0.2,False,,3,6e-06,"['busy', 'doing', 'something', 'apologize', 'problem']",2,1,153,0
1.0,0.8,False,,5,1e-05,"['problem', 'did', 'you', 'need', 'something']",2,1,154,0
1.0,0.6667,False,,8,1.6e-05,"['you', 'something', 'did', 'need', 'want', 'tomorrow']",2,1,155,0
1.0,0.75,False,,9,1.8e-05,"['you', 'want', 'something', 'tomorrow', 'there', 'somewhere', 'special', 'wanted']",2,1,156,0
1.0,0.375,False,,5,1e-05,"['there', 'somewhere', 'special', 'you', 'wanted', 'how', 'about', 'movie']",2,1,157,0
1.0,0.6,False,,5,1e-05,"['movie', 'how', 'about', 'sounds', 'good']",2,1,158,0
1.0,0.5,False,,5,1e-05,"['movie', 'sounds', 'good', 'call', 'tomorrow', 'then']",2,1,159,0
1.0,0.2857,False,,6,1.2e-05,"['have', 'you', 'seen', 'new', 'girl', 'school', 'haven']",2,1,160,0
1.0,0.75,False,,5,1e-05,"['haven', 'she', 'really', 'pretty']",2,1,161,0
1.0,0.4,False,,5,1e-05,"['she', 'really', 'pretty', 'describe', 'her']",2,1,162,0
1.0,0.6667,False,,6,1.2e-05,"['describe', 'her', 'she', 'not', 'too', 'tall']",2,1,163,0
1.0,0.6667,False,,7,1.4e-05,"['she', 'tall', 'not', 'too', 'well', 'how']",2,1,164,0
1.0,0.625,False,,7,1.4e-05,"['she', 'well', 'how', 'tall', 'about', 'five', 'feet', 'even']",2,1,165,0
1.0,0.5,False,,8,1.6e-05,"['she', 'about', 'five', 'feet', 'even', 'what', 'does', 'look']",2,1,166,0
1.0,0.375,False,,7,1.4e-05,"['she', 'what', 'does', 'look', 'like', 'though', 'has', 'pretty']",2,1,167,0
1.0,0.25,False,,10,2e-05,"['she', 'has', 'pretty', 'light', 'brown', 'eyes', 'may', 'know']",2,1,168,0
1.0,0.25,False,,7,1.4e-05,"['you', 'may', 'know', 'which', 'girl', 'talking', 'about', 'have']",2,1,169,0
1.0,0.3333,False,,5,1e-05,"['have', 'you', 'seen', 'her', 'around', 'yes']",2,1,170,0
1.0,0.5,False,,7,1.4e-05,"['seen', 'her', 'yet', 'there', 'new', 'girl', 'school', 'have']",2,1,171,0
1.0,0.5,False,,8,1.6e-05,"['haven', 'seen', 'her', 'yet', 'think', 'she', 'very', 'pretty']",2,1,172,0
1.0,0.5714,False,,6,1.2e-05,"['she', 'think', 'very', 'pretty', 'tell', 'how', 'looks']",2,1,173,0
1.0,0.5,False,,6,1.2e-05,"['she', 'tell', 'how', 'looks', 'kind', 'short']",2,1,174,0
1.0,0.6,False,,5,1e-05,"['she', 'kind', 'short', 'what', 'height']",2,1,175,0
1.0,0.7143,False,,7,1.4e-05,"['she', 'what', 'height', 'probably', 'about', 'five', 'feet']",2,1,176,0
1.0,0.5,False,,12,2.4e-05,"['she', 'probably', 'about', 'five', 'feet', 'nice', 'but', 'tell']",2,1,177,0
1.0,0.125,False,,11,2.2e-05,"['nice', 'but', 'tell', 'what', 'she', 'looks', 'like', 'first']",2,1,178,0
1.0,0.25,False,,10,2e-05,"['her', 'first', 'thing', 'noticed', 'beautiful', 'brown', 'eyes', 'think']",2,1,179,0
1.0,0.5,False,,11,2.2e-05,"['her', 'before', 'you', 'think', 'might', 'bumped', 'into', 'telling']",2,1,180,0
1.0,0.1667,False,,4,8e-06,"['you', 'telling', 'seen', 'her', 'before', 'believe']",2,1,181,0
0.7635,0.4,False,,5,1e-05,"['have', 'you', 'met', 'new', 'girl']",2,2,182,0
1.0,0.7143,False,,13,2.6e-05,"['have', 'you', 'she', 'one', 'prettiest', 'girls', 'school']",2,1,183,0
1.0,0.5,False,,6,1.2e-05,"['she', 'one', 'prettiest', 'girls', 'school', 'what', 'does', 'look']",2,1,184,0
1.0,0.5,False,,7,1.4e-05,"['she', 'what', 'does', 'look', 'like', 'well', 'quite', 'short']",2,1,185,0
1.0,0.625,False,,9,1.8e-05,"['she', 'well', 'quite', 'short', 'how', 'tall', 'would', 'you']",2,1,186,0
1.0,0.625,False,,9,1.8e-05,"['would', 'say', 'she', 'how', 'tall', 'you', 'only', 'five']",2,1,187,0
1.0,0.25,False,,6,1.2e-05,"['would', 'say', 'she', 'only', 'five', 'feet', 'what', 'about']",2,1,188,0
1.0,0.375,False,,9,1.8e-05,"['what', 'about', 'her', 'facial', 'features', 'she', 'has', 'light']",2,1,189,0
1.0,0.125,False,,10,2e-05,"['she', 'has', 'light', 'brown', 'eyes', 'absolutely', 'beautiful', 'think']",2,1,190,0
1.0,0.375,False,,5,1e-05,"['you', 'think', 'know', 'who', 'talking', 'about', 'have', 'seen']",2,1,191,0
1.0,0.375,False,,7,1.4e-05,"['why', 'weren', 'you', 'school', 'yesterday', 'wasn', 'really', 'feeling']",2,1,192,0
1.0,0.4286,False,,6,1.2e-05,"['wasn', 'really', 'feeling', 'well', 'what', 'wrong', 'you']",2,1,193,0
1.0,0.4,False,,5,1e-05,"['what', 'wrong', 'you', 'stomach', 'upset']",2,1,194,0
1.0,0.6667,False,,6,1.2e-05,"['stomach', 'upset', 'you', 'feel', 'better', 'now']",2,1,195,0
1.0,0.625,False,,9,1.8e-05,"['feel', 'you', 'better', 'now', 'don', 'really', 'too', 'well']",2,1,196,0
1.0,0.375,False,,10,2e-05,"['feel', 'you', 'don', 'really', 'too', 'well', 'yet', 'want']",2,1,197,0
0.7647,0.25,False,,10,2e-05,"['you', 'want', 'anything', 'make', 'feel', 'better', 'thanks', 'already']",2,2,198,0
1.0,0.375,False,,6,1.2e-05,"['thanks', 'already', 'took', 'some', 'medicine', 'hope', 'you', 'feel']",2,1,199,0
1.0,0.4,False,,3,6e-06,"['you', 'hope', 'feel', 'better', 'thank']",2,1,200,0
1.0,0.1429,False,,4,8e-06,"['what', 'reason', 'you', 'have', 'missing', 'school', 'sick']",2,1,201,0
1.0,1.0,False,,5,1e-05,"['sick', 'how', 'were', 'you']",2,1,202,0
1.0,0.3333,False,,6,1.2e-05,"['how', 'were', 'you', 'sick', 'had', 'stomachache']",2,1,203,0
1.0,0.6667,False,,6,1.2e-05,"['had', 'stomachache', 'did', 'get', 'any', 'better']",2,1,204,0
1.0,0.5,False,,8,1.6e-05,"['did', 'get', 'any', 'better', 'still', 'feeling', 'under', 'weather']",2,1,205,0
1.0,0.5,False,,8,1.6e-05,"['still', 'feeling', 'under', 'weather', 'would', 'you', 'like', 'anything']",2,1,206,0
1.0,0.25,False,,5,1e-05,"['would', 'you', 'like', 'anything', 'your', 'stomach', 'took', 'something']",2,1,207,0
1.0,0.4,False,,3,6e-06,"['took', 'something', 'earlier', 'get', 'better']",2,1,208,0
1.0,0.5,False,,4,8e-06,"['get', 'better', 'thanks', 'lot']",2,1,209,0
1.0,0.375,False,,10,2e-05,"['why', 'didn', 'you', 'school', 'yesterday', 'stayed', 'home', 'because']",2,1,210,0
1.0,0.25,False,,5,1e-05,"['stayed', 'home', 'because', 'wasn', 'feeling', 'well', 'what', 'your']",2,1,211,0
1.0,0.4,False,,6,1.2e-05,"['what', 'your', 'problem', 'stomach', 'bothering']",2,1,212,0
1.0,0.6667,False,,6,1.2e-05,"['stomach', 'bothering', 'you', 'feeling', 'any', 'better']",2,1,213,0
1.0,0.5714,False,,8,1.6e-05,"['feeling', 'you', 'any', 'better', 'still', 'little', 'sick']",2,1,214,0
1.0,0.5,False,,17,3.4e-05,"['still', 'feeling', 'little', 'sick', 'going', 'store', 'would', 'you']",2,1,215,0
1.0,0.0,False,,4,8e-06,"['going', 'store', 'would', 'you', 'like', 'any', 'pepto', 'bismol']",2,1,216,0
1.0,0.8,False,,6,1.2e-05,"['okay', 'hope', 'you', 'feel', 'better']",2,1,217,0
1.0,0.1667,False,,6,1.2e-05,"['did', 'you', 'hear', 'good', 'news', 'haven']",2,1,218,0
1.0,0.75,False,,8,1.6e-05,"['haven', 'got', 'promotion', 'job']",2,1,219,0
1.0,0.5,False,,4,8e-06,"['got', 'promotion', 'job', 'did', 'you', 'really']",2,1,220,0
1.0,0.4,False,,8,1.6e-05,"['did', 'you', 'really', 'seriously', 'excited']",2,1,221,0
1.0,0.5,False,,4,8e-06,"['seriously', 'excited', 'well', 'congratulations']",2,1,222,0
1.0,0.5,False,,3,6e-06,"['well', 'congratulations', 'thank', 'you']",2,1,223,0
1.0,0.6667,False,,7,1.4e-05,"['you', 'thank', 'happy']",2,1,224,0
1.0,0.3333,False,,2,4e-06,"['happy', 'you', 'really']",2,1,225,0
0.8096,1.0,False,,7,1.4e-05,"['really', 'yes', 'you', 'deserved']",2,2,226,0
